name,source,type,remarks,alias_names
Huawei Technologies Company,Entity List,Entity,Subject to Entity List restrictions,Huawei
Poly Technologies Inc,Entity List,Entity,Chinese defense - Entity List,
China Academy of Space Technology,Entity List,Entity,Chinese aerospace - Entity List,
Karat Industrial Group,Entity List,Entity,Entity List,
Norinco,Entity List,Entity,China North Industries,
Avic International Holding Corporation,Entity List,Entity,Chinese defense - Entity List,
China Shipbuilding Industry Corporation,Entity List,Entity,Shipbuilding - Entity List,
China Electronics Technology Group,Entity List,Entity,CETC - Entity List,
Hangzhou Hikvision Digital Technology,Entity List,Entity,Surveillance - Entity List,
Inspur Group,Entity List,Entity,Chinese IT - Entity List,
Megvii Technology,Entity List,Entity,Chinese AI - Entity List,
Sense Time International,Entity List,Entity,Chinese AI - Entity List,
Xinjiang Silk Road Uyghur Trading FZE,Entity List,Entity,Xinjiang - Entity List,
Raytheon,Denied Persons List,Individual,DPL designation,
Mahan Air,Entity List,Entity,Iran aviation,
Hezbollah Financial,Entity List,Organization,Financial network,Hezbollah|Party of God
